Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
Ce2RhSi3,,5.0,,,,"{'a': '8.2310', 'c': '8.4391'}",6,,1.3 μB at 1.3 K,0.4655,,,10.1016/j.jmmm.2009.06.022,TRUE
Nd0.5Sr0.5MnO3,138.0,,21010,,,"{'a': '0.3912 nm', 'b': '0.3912 nm', 'c': '0.3912 nm'}",,,5.4±0.1 μB,,,,10.1016/j.jmmm.2013.01.009,TRUE
Ce10Fe84B6,483.15,,,,,,,1.7,,,6,,10.1016/j.jmmm.2017.01.062,TRUE
La0.9Nd0.1Fe11.5Al1.5,,187.0,,,13-,,-3,0,,,,,10.1016/j.jmmm.2016.11.129,TRUE
Ga0.984Mn0.016As,173.0,,,,,,,,,,,,10.1016/j.jmmm.2011.05.059,TRUE
Ca0.85Eu0.15MnO3,122.0,,,,,"{'a': '5.2852', 'b': '7.4796', 'c': '5.3103'}",,,,,,,10.1016/j.jmmm.2014.01.013,TRUE
Pr5Co19,690.0,,,,519-,"{'a': '5.0672', 'c': '48.755'}",-3,15,27 μB,832,502,,10.1016/j.jmmm.2017.06.041,TRUE
Co2TiGe,391.0,,,,21,{'a': '5.823'},-3,,1.9 μB,,,,10.1016/j.jmmm.2010.08.005,TRUE
Fe60V40,169.0,,178,,,,,0,0.4 μB,,0.643,,10.1016/j.jmmm.2017.01.103,TRUE
Fe66V34,312.0,,,,,,,,0.6 μB,,,,10.1016/j.jmmm.2017.01.103,TRUE
Dy2Mn2O7,39.0,,41.5,,,{'a': '9.9419'},-3.227,0.2,17.3 μB/f.u.,,,,10.1016/j.jmmm.2019.165494,TRUE
Ho2Mn2O7,38.0,,39.8,,,{'a': '9.9211'},-3.227,0.1,15.1 μB/f.u.,,,,10.1016/j.jmmm.2019.165494,TRUE
Yb2Mn2O7,38.0,,43.5,,,{'a': '9.8357'},-3.227,20,10.4 μB/f.u.,,,,10.1016/j.jmmm.2019.165494,TRUE
Er2Mn2O7,35.0,,37.4,,,{'a': '9.8842'},-3.227,,18.9 μB/f.u.,,,,10.1016/j.jmmm.2019.165494,TRUE
